Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F65,10,0.0,420.0,0.6810069444444444,0.00771379865728299,0.0021462251523052555,0.0022533901993819438,0.002399703415931341,0.002569395134841889,0.0027640603021770517,0.032846704563330116,0.11780009075379597,0.2353860311325065,0.369550013983261,0.5105391867743505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F66,10,0.0,420.0,0.680125,0.006648603961151567,0.0021044420094086026,0.002199499377137,0.002339627257055161,0.0025104656476646146,0.0027027729198951128,0.030899465418066843,0.10651522585216233,0.2225825145342412,0.36056752290591937,0.5104752003027602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F67,10,0.0,420.0,0.6731597222222222,0.008715398522621367,0.002032350361742533,0.0021084410402592876,0.002217843225593855,0.0023654374107095026,0.0025340228462145016,0.01185435152985033,0.06181123079012776,0.16156652252321338,0.29251980046424153,0.43617453115071386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F68,10,0.0,420.0,0.6837847222222222,0.014086447647693909,0.0016154663398213437,0.001667969269111054,0.0017361452367783282,0.0018320254131845997,0.0019629858670967546,0.005302989085364655,0.029984556315252642,0.10920406884326865,0.25859533768889464,0.4548464984441386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F69,10,0.0,420.0,0.6782777777777778,0.010183693969215844,0.0019500327073731461,0.0020079064560553387,0.002087656156101253,0.0022015330261119393,0.0023429377481466447,0.005561157128623251,0.031298167212212645,0.10210787950055872,0.215252684286815,0.35172059696739477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F7,10,0.0,420.0,0.6810347222222223,0.012588579915835167,0.001579849089937739,0.001755608719281295,0.001992670096230203,0.0022842526865077583,0.0026387695086832596,0.23089036885967337,0.5532295160298676,0.9479880639578759,1.3925373817243116,1.8699242934000624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F70,10,0.0,420.0,0.6759305555555555,0.010485817405377315,0.0018819090808127486,0.0019458065521465225,0.0020339289170142466,0.0021613179575234887,0.0023187850962836046,0.00846883762966375,0.04494350721419958,0.13616335539195504,0.2726203709424224,0.43600666970603236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F71,10,0.0,420.0,0.6811527777777778,0.012342107526513041,0.0021870066733694076,0.0022774028692189984,0.0024034261956254665,0.002555934177478938,0.0027290252729944026,0.020762892852704322,0.07987840309846718,0.17617994399464026,0.2883063012051815,0.4114602762217124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F72,10,0.0,420.0,0.6625694444444444,0.010530257682624411,0.0015787983733640267,0.0016417456197574732,0.0017350520834513274,0.001880413913060837,0.0020710456791416415,0.010195234525086732,0.0628698441966598,0.2118944781289455,0.4432973876588079,0.7213298099523138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F73,10,0.0,420.0,0.6780833333333334,0.011013314208302176,0.002181442060441994,0.002271121582917886,0.0023995792666584737,0.0025558961838099397,0.0027346208113652407,0.02017938876422728,0.08049637139476362,0.17944281252693575,0.29469779606977764,0.42142354527428344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F74,10,0.0,420.0,0.6804930555555556,0.012795561011754527,0.0022808999377742453,0.0023384003293492705,0.0024163988471538993,0.0025266276318335083,0.0026600252096097886,0.0041275291298572495,0.020955413519091873,0.06706741222822588,0.13891475489103838,0.2254785053230043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
