loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,35,4,relu,0.1,True,0.0442528459884817,0.058641562825666,0.0111366687199633,adam,True,
absolute,onehot,34,4,leakyrelu,0.1,True,0.049708253116576,0.0607299387452843,0.0069505280039697,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0345107307008337,0.0560515366000648,0.0172816671654693,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0413583659105661,0.0539466265888319,0.0106145609913965,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0457975996198126,0.0541207267500954,0.0084380478973425,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0449776349291951,0.0486927609419956,0.0113439239785796,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0418602339730312,0.0554117694495401,0.0171192691665586,adam,True,
absolute,onehot,35,4,swish,0.1,True,0.0387424331887368,0.0536228166731843,0.0149683047301894,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0077408782315809,0.0647410995932332,0.0266812125160792,adam,True,
absolute,onehot,35,4,swish,0.1,True,0.0499159373677637,0.045032596135406,0.0079636040360715,adam,True,
absolute,onehot,35,4,swish,0.1,True,0.0467318153860075,0.0543091453034262,0.0125169654429987,adam,True,
absolute,onehot,35,4,tanh,0.1,True,0.0498752939092279,0.0679247262781298,0.0183390880824726,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0447803634461867,0.0510334766455027,0.0096984615368382,adam,True,
absolute,onehot,34,4,swish,0.1,True,0.0440088854008347,0.053002987786154,0.0108147309495915,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0410241750106268,0.0544224709018582,0.0168058588258001,adam,True,
absolute,onehot,35,4,swish,0.1,True,0.0453993964571257,0.0513214503277939,0.0113923490121224,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0419857376421898,0.0567608066907857,0.0137590779673645,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.049908708915585,0.0545030264176385,0.0161450493443079,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0379797156154882,0.0472492447220203,0.0084676320620181,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0373786953843991,0.0548714878828004,0.0153515535170809,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0384757735438653,0.0587128140586304,0.0196200878640706,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0464891108699555,0.0635410921798012,0.0245161946763266,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0352395509528719,0.0499320468771985,0.0154686612752128,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0346064746568225,0.0618044231264569,0.0206168449991205,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.039681392049451,0.0545023400150768,0.0140838171746678,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0437128132055648,0.0520149356556412,0.0080399144477211,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0048327086539408,0.0660242633070314,0.0281122056111787,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0362254786385252,0.0504837179406756,0.0087180489149965,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0323098396071543,0.0573082114238897,0.0186011175266349,adam,True,
absolute,onehot,34,4,gelu,0.1,True,0.0366387265636134,0.054574958081236,0.0116474754376766,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0356384359084373,0.052680356941466,0.0132400601344669,adam,True,
absolute,onehot,36,5,gelu,0.1,True,0.0400945754738264,0.0632093182594141,0.0163129278598605,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0371120232344345,0.055667110977529,0.0204058611039964,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0326513146520146,0.0576571650204379,0.0187588480389923,adam,True,
absolute,onehot,36,4,swish,0.1,True,0.0433767502164295,0.0565660096028953,0.0151548640093957,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0475084641859659,0.0542356103704852,0.0087843034724783,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0419274820225784,0.0439836741423502,0.0060977131469102,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0403690130773354,0.057677474080179,0.0199770422647858,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0152655597078874,0.0571359554257581,0.033786716987034,adam,True,
absolute,onehot,36,4,gelu,0.1,True,0.0433295278503162,0.0549525805608313,0.014782688668061,adam,True,
absolute,onehot,36,4,gelu,0.0,True,0.0387783031658228,0.053796099187645,0.0139747952521207,adam,True,
absolute,onehot,35,4,gelu,0.1,True,0.0472643527767976,0.0498368662610224,0.006060346019734,adam,True,
